time,strategy,symbol,action,qty_or_notional,price,reason,realized_pnl
2026-08-17 13:56:53.765482+00:00,C_momentum,NVDA,BUY,625.0,226.29,momentum +11.3%,0.00
2026-08-17 13:56:53.838614+00:00,C_momentum,AMZN,BUY,625.0,262.87,momentum +5.2%,0.00
2026-08-19 14:06:20.583512+00:00,B_pullback,AAPL,BUY,625.0,316.895,RSI dipten donus,0.00
2026-08-19 15:50:56.443817+00:00,D_crypto,ETH/USD,BUY,625.0,2082.85,20g zirve kirilimi,0.00
2026-08-19 20:59:01.383463+00:00,D_crypto,BTC/USD,BUY,625.0,69093.87,20g zirve kirilimi,0.00
2026-08-20 14:20:45.730447+00:00,C_momentum,GOOGL,BUY,625.0,341.32,momentum +7.4%,0.00
2026-08-20 16:01:32.445964+00:00,C_momentum,GOOGL,SELL,all,339.43,trend kirildi (SMA50),-3.68
2026-08-20 17:50:23.244662+00:00,C_momentum,GOOGL,BUY,625.0,340.9963,momentum +7.3%,0.00
2026-08-20 19:45:09.562970+00:00,C_momentum,GOOGL,SELL,all,341.0125,trend kirildi (SMA50),0.02
2026-08-21 14:09:32.771844+00:00,B_pullback,AAPL,SELL,all,307.67,trend kirildi (SMA50),-17.62
2026-08-21 14:09:33.397109+00:00,C_momentum,GOOGL,BUY,625.0,342.065,momentum +7.0%,0.00
2026-08-21 15:54:04.032736+00:00,C_momentum,GOOGL,SELL,all,345.44,trend kirildi (SMA50),5.95
2026-08-21 17:06:45.624458+00:00,C_momentum,GOOGL,BUY,625.0,345.84,momentum +8.2%,0.00
2026-08-21 18:04:41.959616+00:00,C_momentum,GOOGL,SELL,all,345.115,trend kirildi (SMA50),-1.06
2026-08-21 19:33:56.425546+00:00,C_momentum,GOOGL,BUY,625.0,345.545,momentum +8.1%,0.00
2026-08-24 14:26:15.182238+00:00,C_momentum,NVDA,SELL,all,209.1694,trailing stop,-47.03
2026-08-24 14:26:15.355663+00:00,C_momentum,GOOGL,SELL,all,348.55,trend kirildi (SMA50),6.91
2026-08-24 16:07:21.668234+00:00,C_momentum,NVDA,BUY,625.0,210.28,momentum +7.0%,0.00
2026-08-24 16:07:22.294421+00:00,C_momentum,GOOGL,BUY,625.0,350.865,momentum +7.4%,0.00
2026-08-24 17:51:51.223257+00:00,C_momentum,GOOGL,SELL,all,349.0054,trend kirildi (SMA50),-3.72
2026-08-24 19:19:43.207066+00:00,C_momentum,GOOGL,BUY,625.0,348.55,momentum +6.7%,0.00
2026-08-25 14:08:02.025527+00:00,C_momentum,GOOGL,SELL,all,347.6375,trend kirildi (SMA50),-3.72
